_id,Ignition_Source,Estimated_Dollar_Loss,Total_Clear_Time,Alarm_Date,Latitude,Longitude
195291,electronic wiring,10000,42,42993,43.77872,-79.1363
195312,heater,500,71,43007,43.74312,-79.51414
195364,appliance,2500,55,42941,43.65315,-79.48159
195514,appliance,5000,57,42989,43.74383,-79.51103
195587,appliance,2000,14,42840,43.80829,-79.18823
195671,smoker's article,0,12,42888,43.65679,-79.36566
195759,appliance,50,25,42944,43.65458,-79.41766
195788,appliance,2000,33,42944,43.71979,-79.30059
195973,smoker's article,1000,48,42869,43.66242,-79.35869
196279,appliance,1000,25,42902,43.65204,-79.42777
196406,appliance,500,38,42879,43.7804,-79.3457
196535,smoker's article,9999,85,42890,43.64406,-79.37577
196832,appliance,5000,34,42849,43.68369,-79.53397
197051,light bulb,100,28,42874,43.65471,-79.41367
197149,appliance,40000,43,42873,43.68138,-79.44923
197247,electronic wiring,1000,76,42892,43.7219,-79.57736
197355,smoker's article,0,21,42875,43.74271,-79.59458
197424,appliance,5000,91,42793,43.71947,-79.53044
197430,smoker's article,10,44,42782,43.73678,-79.42026
197649,appliance,2000,33,42999,43.65157,-79.43759
197691,appliance,3500,23,42854,43.71108,-79.26981
197760,appliance,250,39,42880,43.77972,-79.44904
197839,smoker's article,500,17,42802,43.67259,-79.49416
197946,electronic wiring,50,17,43012,43.76497,-79.40862
197948,smoker's article,1,29,43082,43.68011,-79.29259
198111,candle,5000,67,42822,43.71595,-79.42901
198133,appliance,3000,78,42879,43.77954,-79.23298
198148,appliance,10000,38,42829,43.73845,-79.57644
198167,appliance,2000,51,42742,43.64918,-79.45267
198224,appliance,15000,485,43019,43.74823,-79.54161
198225,appliance,25000,82,43032,43.66809,-79.45604
